name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Ex's & Oh's,Elle King,spotify:track:70eDxAyAraNTiD6lx2ZEnH,0.0183,0.612,0.921,0.0,0.0576,-2.882,0.085,139.988,0.446,Nova playlist 2
Yesterday - Remastered 2015,The Beatles,spotify:track:63uskN0xLezVg4281wzeQn,0.871,0.401,0.189,0.0,0.0968,-11.189,0.0287,94.509,0.357,Nova playlist 2
Cocaine,Eric Clapton,spotify:track:2udGjDmpK1dH9VGyw7nrei,0.0607,0.699,0.502,0.0337,0.317,-12.526,0.0278,105.267,0.676,Nova playlist 2
Hotel California - 2013 Remaster,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,Nova playlist 2
Strawberry Fields Forever - Remastered,The Beatles,spotify:track:5EuraV2jbqB15ihd3d2Hex,0.336,0.39,0.502,0.000138,0.0713,-12.277,0.178,97.871,0.289,Nova playlist 2
Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.731,0.482,0.721,0.0,0.189,-6.839,0.0321,95.263,0.557,Nova playlist 2
Like a Stone,Audioslave,spotify:track:3YuaBvuZqcwN3CEAyyoaei,0.00797,0.614,0.568,0.0,0.0997,-5.477,0.0276,107.849,0.516,Nova playlist 2
American Idiot,Green Day,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,2.64e-05,0.38,0.988,7.86e-05,0.368,-2.042,0.0639,186.113,0.769,Nova playlist 2
Amianto,Supercombo,spotify:track:2HwIYnboW3xZDmfbEB37zk,0.164,0.65,0.51,1.55e-06,0.315,-7.057,0.0282,126.52,0.2,Nova playlist 2
Dream On,Aerosmith,spotify:track:5MxNLUsfh7uzROypsoO5qe,0.388,0.307,0.433,9.08e-05,0.332,-10.057,0.029,160.9,0.224,Nova playlist 2
Man in the Box,Alice In Chains,spotify:track:6gZVQvQZOFpzIy3HblJ20F,0.00045,0.355,0.791,0.0,0.0969,-7.565,0.0453,106.392,0.758,Nova playlist 2
I Stay Away,Alice In Chains,spotify:track:6HnZsLUDrG3HTSbh8sq2u3,0.0452,0.174,0.781,0.00346,0.0822,-7.066,0.0406,81.37,0.276,Nova playlist 2
Do I Wanna Know?,Arctic Monkeys,spotify:track:2UzMpPKPhbcC8RbsmuURAZ,0.174,0.55,0.532,0.000347,0.218,-7.591,0.032,85.032,0.41,Nova playlist 2
One for the Road,Arctic Monkeys,spotify:track:7Hk6vSplBGJ6zK9GcGgeIa,0.24,0.414,0.664,0.0656,0.288,-6.87,0.0379,183.67,0.863,Nova playlist 2
Fluorescent Adolescent,Arctic Monkeys,spotify:track:2HYaqJitHc9qiG68vc0JIm,0.00193,0.651,0.823,5.77e-05,0.172,-5.148,0.0282,112.148,0.817,Nova playlist 2
Dancing With Myself,Billy Idol,spotify:track:1BY1Vd2Bt6JPOhMvsIwtVv,0.0157,0.51,0.696,0.000104,0.297,-10.83,0.0802,176.568,0.905,Nova playlist 2
Come A Little Closer,Cage The Elephant,spotify:track:4zf0YxjawF0Ao3aiLEbCED,0.0208,0.452,0.795,1.38e-06,0.171,-1.797,0.0315,147.961,0.341,Nova playlist 2
Cigarette Daydreams,Cage The Elephant,spotify:track:7q2vQa5a1LCqEbssxR1QXF,0.0832,0.637,0.676,0.0,0.0819,-3.427,0.0262,113.94,0.275,Nova playlist 2
Shake Me Down,Cage The Elephant,spotify:track:3eFepXGITXNDXXHUNqouxi,0.00463,0.457,0.613,0.000406,0.0711,-5.756,0.0295,105.111,0.132,Nova playlist 2
Blame It on Me,George Ezra,spotify:track:2Zgnaip1c876zmBhz9HifI,0.439,0.544,0.745,0.0,0.348,-3.401,0.0276,103.971,0.455,Nova playlist 2
À Sua Maneira (De Música Ligera) - Ao Vivo,Capital Inicial,spotify:track:0y1Cn8jcLCr5fJvvO35zuN,0.00474,0.468,0.88,0.00173,0.99,-6.302,0.0505,112.987,0.395,Nova playlist 2
O Segundo Sol - Ao Vivo,Cássia Eller,spotify:track:6nq1UXqPzEPPIG54YMSnhn,0.533,0.424,0.713,0.0,0.741,-7.406,0.049,151.281,0.461,Nova playlist 2
Palavras Ao Vento,Cássia Eller,spotify:track:1QjC2KRzi0Nm3L4AAREwnY,0.253,0.392,0.47,0.0,0.112,-4.975,0.0305,71.803,0.119,Nova playlist 2
Roses,The Chainsmokers,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,0.343,Nova playlist 2
A Sky Full of Stars,Coldplay,spotify:track:0FDzzruyVECATHXKHFs9eJ,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,0.162,Nova playlist 2
The Scientist,Coldplay,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,0.213,Nova playlist 2
Mountain Man,Crash Kings,spotify:track:2KdzxEjfFIA3baO9grB2eo,0.0265,0.525,0.923,7.47e-05,0.454,-5.217,0.0929,155.114,0.668,Nova playlist 2
Non Believer,Crash Kings,spotify:track:0arqYV85RIroh1c6NsavpY,0.138,0.433,0.63,7.87e-05,0.0738,-5.725,0.027,84.312,0.508,Nova playlist 2
My Favourite Faded Fantasy,Damien Rice,spotify:track:7tDS5ATQal5W6BqH2w9uS3,0.651,0.35,0.233,0.00117,0.262,-11.832,0.0322,146.663,0.101,Nova playlist 2
Heroes - 1999 Remaster,David Bowie,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,0.000265,0.478,0.774,0.585,0.191,-6.977,0.0292,112.577,0.429,Nova playlist 2
The Man Who Sold the World - 2015 Remaster,David Bowie,spotify:track:4mWahKerLaVddUjb8d1Q4Q,0.642,0.474,0.387,0.00557,0.143,-14.416,0.0305,118.486,0.545,Nova playlist 2
Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG,0.0726,0.31,0.403,9.27e-05,0.139,-13.664,0.0326,134.48,0.466,Nova playlist 2
Thinking out Loud,Ed Sheeran,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,Nova playlist 2
Mad World,Gary Jules,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,0.976,0.344,0.0585,0.000362,0.103,-17.212,0.0373,174.149,0.323,Nova playlist 2
Listen to the Man,George Ezra,spotify:track:6zR5rIivVSMFkgzIkVp8l9,0.505,0.599,0.548,0.0,0.0898,-5.911,0.0323,121.163,0.518,Nova playlist 2
Budapest,George Ezra,spotify:track:7GJClzimvMSghjcrKxuf1M,0.0883,0.714,0.451,0.0,0.108,-8.268,0.0276,127.787,0.406,Nova playlist 2
