codigo_ibge	uf	nome	lat	lon	data	confirmados	mortes
3550308	SP	São Paulo	-23.5329	-46.6395	2020-02-25	1	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-02-26	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-02-27	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-02-28	1	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-02-29	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-01	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-02	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-03	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-04	1	0
3300407	RJ	Barra Mansa	-22.5481	-44.1752	2020-03-05	1	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-05	3	0
2910800	BA	Feira de Santana	-12.2664	-38.9663	2020-03-06	1	0
3300407	RJ	Barra Mansa	-22.5481	-44.1752	2020-03-06	0	0
3304557	RJ	Rio de Janeiro	-22.9129	-43.2003	2020-03-06	1	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-06	0	0
2910800	BA	Feira de Santana	-12.2664	-38.9663	2020-03-07	1	0
3300407	RJ	Barra Mansa	-22.5481	-44.1752	2020-03-07	0	0
3304557	RJ	Rio de Janeiro	-22.9129	-43.2003	2020-03-07	0	0
3547304	SP	Santana de Parnaíba	-23.4439	-46.9178	2020-03-07	1	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-07	6	0
5300108	DF	Brasília	-15.7795	-47.9297	2020-03-07	1	0
2704302	AL	Maceió	-9.66599	-35.735	2020-03-08	1	0
2910800	BA	Feira de Santana	-12.2664	-38.9663	2020-03-08	0	0
3122306	MG	Divinópolis	-20.1446	-44.8912	2020-03-08	1	0
3300407	RJ	Barra Mansa	-22.5481	-44.1752	2020-03-08	0	0
3304557	RJ	Rio de Janeiro	-22.9129	-43.2003	2020-03-08	1	0
3547304	SP	Santana de Parnaíba	-23.4439	-46.9178	2020-03-08	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-08	3	0
5300108	DF	Brasília	-15.7795	-47.9297	2020-03-08	0	0
2704302	AL	Maceió	-9.66599	-35.735	2020-03-09	0	0
2910800	BA	Feira de Santana	-12.2664	-38.9663	2020-03-09	0	0
3122306	MG	Divinópolis	-20.1446	-44.8912	2020-03-09	0	0
3300407	RJ	Barra Mansa	-22.5481	-44.1752	2020-03-09	0	0
3304557	RJ	Rio de Janeiro	-22.9129	-43.2003	2020-03-09	0	0
3547304	SP	Santana de Parnaíba	-23.4439	-46.9178	2020-03-09	0	0
3550308	SP	São Paulo	-23.5329	-46.6395	2020-03-09	0	0
5300108	DF	Brasília	-15.7795	-47.9297	2020-03-09	0	0
