ANO,IBGE7,NOME,IDEB_AF,POP_TOT
2013,1100015,Alta Floresta D&apos;Oeste,3.9,25728
2013,1100023,Ariquemes,4.2,101269
2013,1100031,Cabixi,4.1,6495
2013,1100049,Cacoal,4.5,85863
2013,1100056,Cerejeiras,3.6,18041
2013,1100064,Colorado do Oeste,3.9,19190
2013,1100072,Corumbiara,4.3,9036
2013,1100080,Costa Marques,2.6,15853
2013,1100098,Espigão D&apos;Oeste,4.9,31699
2013,1100106,Guajará-Mirim,3.5,45761
2013,1100114,Jaru,3.7,55597
2013,1100122,Ji-Paraná,3.9,128026
2013,1100130,Machadinho D&apos;Oeste,3.8,35633
2013,1100148,Nova Brasilândia D&apos;Oeste,5.1,21427
2013,1100155,Ouro Preto do Oeste,4.2,40099
2013,1100189,Pimenta Bueno,4.1,36939
2013,1100205,Porto Velho,3.2,484992
2013,1100254,Presidente Médici,4.6,23017
2013,1100262,Rio Crespo,3.5,3666
2013,1100288,Rolim de Moura,3.9,55357
2013,1100296,Santa Luzia D&apos;Oeste,4.6,8887
2013,1100304,Vilhena,4.1,87727
2013,1100320,São Miguel do Guaporé,4.2,23668
2013,1100338,Nova Mamoré,3.9,26227
2013,1100346,Alvorada D&apos;Oeste,3.7,17399
2013,1100379,Alto Alegre dos Parecis,4.1,13827
2013,1100403,Alto Paraíso,3.9,19459
2013,1100452,Buritis,3.8,36555
2013,1100502,Novo Horizonte do Oeste,4.3,10515
2013,1100601,Cacaulândia,3.8,6268
2013,1100700,Campo Novo de Rondônia,3.8,13939
2013,1100809,Candeias do Jamari,3.1,22973
2013,1100908,Castanheiras,,3689
2013,1100924,Chupinguaia,3.7,9636
2013,1100940,Cujubim,3.2,19410
2013,1101005,Governador Jorge Teixeira,3.3,10534
2013,1101104,Itapuã do Oeste,3.4,9661
2013,1101203,Ministro Andreazza,4.8,10899
2013,1101302,Mirante da Serra,4.5,12469
2013,1101401,Monte Negro,4.2,15541
2013,1101435,Nova União,3.8,7883
2013,1101450,Parecis,3.7,5477
2013,1101468,Pimenteiras do Oeste,3.7,2440
2013,1101476,Primavera de Rondônia,3.8,3597
2013,1101484,São Felipe D&apos;Oeste,4,6219
2013,1101492,São Francisco do Guaporé,3.8,18265
2013,1101500,Seringueiras,3.8,12505
2013,1101559,Teixeirópolis,4.2,5080
2013,1101609,Theobroma,3.9,11343
2013,1101708,Urupá,4.4,13491
2013,1101757,Vale do Anari,4.4,10518
2013,1101807,Vale do Paraíso,4.1,8425
2013,1200013,Acrelândia,4.2,13353
2013,1200054,Assis Brasil,4.2,6480
2013,1200104,Brasiléia,5.3,22899
2013,1200138,Bujari,3.9,9003
2013,1200179,Capixaba,4.4,9836
2013,1200203,Cruzeiro do Sul,4.3,80377
2013,1200252,Epitaciolândia,4.7,16099
2013,1200302,Feijó,4.4,32411
2013,1200328,Jordão,3.7,7147
2013,1200336,Mâncio Lima,3.8,16410
2013,1200344,Manoel Urbano,3.9,8386
2013,1200351,Marechal Thaumaturgo,3.1,15857
2013,1200385,Plácido de Castro,4,17795
2013,1200393,Porto Walter,3.1,10143
2013,1200401,Rio Branco,4.5,357194
2013,1200427,Rodrigues Alves,3.9,15968
2013,1200435,Santa Rosa do Purus,3.3,5374
2013,1200450,Senador Guiomard,4.7,20799
2013,1200500,Sena Madureira,4.2,40311
2013,1200609,Tarauacá,4.4,37571
2013,1200708,Xapuri,3.9,17021
2013,1200807,Porto Acre,3.8,16029
2013,1300029,Alvarães,,15166
2013,1300060,Amaturá,3.6,10436
2013,1300086,Anamã,4.1,11636
2013,1300102,Anori,3.9,18351
2013,1300144,Apuí,4.3,19860
2013,1300201,Atalaia do Norte,2.9,17174
2013,1300300,Autazes,3.6,35554
2013,1300409,Barcelos,4,27110
2013,1300508,Barreirinha,3.7,29737
2013,1300607,Benjamin Constant,3.4,37564
2013,1300631,Beruri,4.1,17332
2013,1300680,Boa Vista do Ramos,4,16820
2013,1300706,Boca do Acre,4.3,32792
2013,1300805,Borba,3.8,38073
2013,1300839,Caapiranga,3.4,12004
2013,1300904,Canutama,2.9,14754
2013,1301001,Carauari,5,27405
2013,1301100,Careiro,3.6,35431
2013,1301159,Careiro da Várzea,3.9,26722
2013,1301209,Coari,3.4,81325
2013,1301308,Codajás,3.5,25696
2013,1301407,Eirunepé,3.8,33127
2013,1301506,Envira,4.9,18051
2013,1301605,Fonte Boa,3.2,21859
2013,1301654,Guajará,3.4,15291
2013,1301704,Humaitá,3.9,49137
2013,1301803,Ipixuna,4.1,25362
2013,1301852,Iranduba,3.2,44503
2013,1301902,Itacoatiara,3.9,94278
2013,1301951,Itamarati,3.5,8232
2013,1302009,Itapiranga,4,8774
2013,1302108,Japurá,3.7,6083
2013,1302207,Juruá,3,12408
2013,1302306,Jutaí,3.3,17376
2013,1302405,Lábrea,3.4,41600
2013,1302504,Manacapuru,4.2,91795
2013,1302553,Manaquiri,2.9,26530
2013,1302603,Manaus,3.7,1982177
2013,1302702,Manicoré,4.1,51331
2013,1302801,Maraã,3.4,18310
2013,1302900,Maués,3.7,57663
2013,1303007,Nhamundá,4,19792
2013,1303106,Nova Olinda do Norte,3.6,33829
2013,1303205,Novo Airão,4.8,16719
2013,1303304,Novo Aripuanã,4.6,23486
2013,1303403,Parintins,4.3,109225
2013,1303502,Pauini,2.9,19149
2013,1303536,Presidente Figueiredo,4.1,30978
2013,1303569,Rio Preto da Eva,3.3,28999
2013,1303601,Santa Isabel do Rio Negro,3.9,20986
2013,1303700,Santo Antônio do Içá,3.6,24327
2013,1303809,São Gabriel da Cachoeira,4.2,41575
2013,1303908,São Paulo de Olivença,4.1,34963
2013,1303957,São Sebastião do Uatumã,3.6,12115
2013,1304005,Silves,3.9,8946
2013,1304062,Tabatinga,3.6,58314
2013,1304104,Tapauá,4.7,18383
2013,1304203,Tefé,4.1,62885
2013,1304237,Tonantins,3,18162
2013,1304260,Uarini,3.2,12801
2013,1304302,Urucará,4.1,17367
2013,1304401,Urucurituba,3.4,20091
2013,1400027,Amajari,3.5,10432
2013,1400050,Alto Alegre,3.6,16428
2013,1400100,Boa Vista,3.6,308996
2013,1400159,Bonfim,3.1,11525
2013,1400175,Cantá,3.1,15393
2013,1400209,Caracaraí,3.1,19696
2013,1400233,Caroebe,3.6,8826
2013,1400282,Iracema,3,9762
2013,1400308,Mucajaí,3.8,15890
2013,1400407,Normandia,3.3,9754
2013,1400456,Pacaraima,3.5,11423
2013,1400472,Rorainópolis,3.1,26326
2013,1400506,São João da Baliza,3.5,7284
2013,1400605,São Luiz,3.8,7210
2013,1400704,Uiramutã,,9127
2013,1500107,Abaetetuba,3.2,147267
2013,1500131,Abel Figueiredo,3.9,7013
2013,1500206,Acará,3.5,54030
2013,1500305,Afuá,2.9,36598
2013,1500347,Água Azul do Norte,3.1,25899
2013,1500404,Alenquer,3.6,54035
2013,1500503,Almeirim,3.3,33562
2013,1500602,Altamira,3.7,105106
2013,1500701,Anajás,3.1,26547
2013,1500800,Ananindeua,3.4,493976
2013,1500859,Anapu,2.9,23609
