Cód.	Município	Sigla	PIB(Milhares de Reais)
1100015	Alta Floresta D'Oeste	RO	499306
1100023	Ariquemes	RO	2463773
1100031	Cabixi	RO	140502
1100049	Cacoal	RO	2180454
1100056	Cerejeiras	RO	472179
1100064	Colorado do Oeste	RO	330428
1100072	Corumbiara	RO	320628
1100080	Costa Marques	RO	230164
1100098	Espigão D'Oeste	RO	608398
1100106	Guajará-Mirim	RO	836882
1100114	Jaru	RO	1476627
1100122	Ji-Paraná	RO	3362336
1100130	Machadinho D'Oeste	RO	642103
1100148	Nova Brasilândia D'Oeste	RO	370024
1100155	Ouro Preto do Oeste	RO	808667
1100189	Pimenta Bueno	RO	1131158
1100205	Porto Velho	RO	16647158
1100254	Presidente Médici	RO	417601
1100262	Rio Crespo	RO	106521
1100288	Rolim de Moura	RO	1317091
1100296	Santa Luzia D'Oeste	RO	146645
1100304	Vilhena	RO	2769483
1100320	São Miguel do Guaporé	RO	711451
1100338	Nova Mamoré	RO	508702
1100346	Alvorada D'Oeste	RO	256509
1100379	Alto Alegre dos Parecis	RO	278480
1100403	Alto Paraíso	RO	328751
1100452	Buritis	RO	680976
1100502	Novo Horizonte do Oeste	RO	165798
1100601	Cacaulândia	RO	140630
1100700	Campo Novo de Rondônia	RO	280341
1100809	Candeias do Jamari	RO	567898
1100908	Castanheiras	RO	113027
1100924	Chupinguaia	RO	301332
1100940	Cujubim	RO	357077
1101005	Governador Jorge Teixeira	RO	178780
1101104	Itapuã do Oeste	RO	180286
1101203	Ministro Andreazza	RO	206233
1101302	Mirante da Serra	RO	217967
1101401	Monte Negro	RO	283003
1101435	Nova União	RO	121054
1101450	Parecis	RO	106590
1101468	Pimenteiras do Oeste	RO	104579
1101476	Primavera de Rondônia	RO	60540
1101484	São Felipe D'Oeste	RO	89556
1101492	São Francisco do Guaporé	RO	352762
1101500	Seringueiras	RO	234981
1101559	Teixeirópolis	RO	89304
1101609	Theobroma	RO	191965
1101708	Urupá	RO	217176
1101757	Vale do Anari	RO	159963
1101807	Vale do Paraíso	RO	150141
1200013	Acrelândia	AC	236379
1200054	Assis Brasil	AC	91486
1200104	Brasiléia	AC	417839
1200138	Bujari	AC	157797
1200179	Capixaba	AC	170403
1200203	Cruzeiro do Sul	AC	1425685
1200252	Epitaciolândia	AC	459388
1200302	Feijó	AC	364112
1200328	Jordão	AC	76929
1200336	Mâncio Lima	AC	198112
1200344	Manoel Urbano	AC	125008
1200351	Marechal Thaumaturgo	AC	192830
1200385	Plácido de Castro	AC	252906
1200393	Porto Walter	AC	112156
1200401	Rio Branco	AC	8940823
1200427	Rodrigues Alves	AC	184545
1200435	Santa Rosa do Purus	AC	71467
1200450	Senador Guiomard	AC	373185
1200500	Sena Madureira	AC	518416
1200609	Tarauacá	AC	488825
1200708	Xapuri	AC	239114
1200807	Porto Acre	AC	233716
1300029	Alvarães	AM	169816
1300060	Amaturá	AM	83091
1300086	Anamã	AM	116341
1300102	Anori	AM	218253
